gene_name	transcript_name	1	7	12	14	1_pct	7_pct	12_pct	14_pct	p.value	statistic	major_group	p.value.adjusted
AP2A2	ISOT-28ab-ad1b-48b5-dc26:s925800:e1012250:AP:FL	43.4087877860063	25.9712069911677	18.4575846666969	10.0746678563791	0.105949834910975	0.116558056754038	0.107077461676145	0.109356742857493	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
AP2A2	ISOT-4879-c4eb-9f20-5284:s996100:e1012250:DN:FL	31.4390684119586	15.0139476069927	15.926506653147	9.95594823842364	0.0767347875370909	0.0673821804998569	0.0923939906863456	0.108068085909395	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
AP2A2	ISOT-4a92-6fa4-c627-6b79:s1009250:e1010950:AP:FL	106.23680297444	48.888724562426	37.832469639207	18.6950243073623	0.259297075792571	0.219411240075121	0.219476431562326	0.202927480591859	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
AP2A2	ISOT-842e-25da-9c65-e3af:s925800:e1012250:AP:FL	40.7080956649177	24.3137182608033	8.95548863725118	17.135314474019	0.0993581308121346	0.109119293296926	0.0519532218685484	0.185997415044415	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
AP2A2	ISOT-e501-f8cb-ae52-480e:s925850:e1012250:AP:FL	95.4911111444155	44.5815181107186	28.3181861910086	14.0829606845863	0.233069569025788	0.200080616965452	0.164281489228477	0.152865258905914	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
AP2A2	ISOT-f2ad-899f-f94c-8c4a:s996050:e1010950:NC:FL	63.8985022015561	43.556681346927	39.2952312387527	13.0266235484903	0.15596002801755	0.195481177989887	0.227962308882954	0.141399115286129	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
SDAD1	ISOT-4bbd-52ac-d6b2-e23f:s75949900:e75990950:AP:FL	202.4560377013	99.9183070562248	107.35289437532	87.3569376635268	0.18901011328665	0.19312584736002	0.203758310052887	0.279990184818996	0.0031189668844742	19.7095321292779	astrocytes	0.0124234038392513
SDAD1	ISOT-5650-1a06-965c-85d5:s75971350:e75991050:AP:FL	558.678014953347	247.855158955727	304.404316950778	139.457244643607	0.521573948082927	0.479063737228273	0.577766529310769	0.446978348216688	0.0031189668844742	19.7095321292779	astrocytes	0.0124234038392513
SDAD1	ISOT-6a17-2d78-4fa5-82ba:s75949900:e75990950:AP:FL	74.7936483056663	52.6722743224679	42.557793915246	22.9189584146029	0.0698262995753822	0.101806945199561	0.0807756904758699	0.0734582000468041	0.0031189668844742	19.7095321292779	astrocytes	0.0124234038392513
TRMT13	ISOT-96e9-7b62-4291-88ea:s100133150:e100148950:DN:FL	27.0732050926135	4.62849557889158	11.4822610916738	1.61867565239868	0.127104249261096	0.0436650526310526	0.194614594774133	0.0305410500452581	0.00311688972671622	13.8498042220038	astrocytes	0.0124234038392513
